mes,soy
12-Aug,684.02
12-Sep,677.32
12-Oct,625.76
12-Nov,584.59
12-Dec,591.29
13-Jan,595.3
13-Feb,610.73
13-Mar,584.7
13-Apr,563.88
13-May,498.01
13-Jun,524.66
13-Jul,511.3
13-Aug,511.71
13-Sep,560.18
13-Oct,540.85
13-Nov,551.32
13-Dec,564.03
14-Jan,565.5
14-Feb,490.73
14-Mar,530.81
14-Apr,516.18
14-May,519.42
14-Jun,511.14
14-Jul,471.74
14-Aug,458.57
14-Sep,430.17
14-Oct,425.81
14-Nov,449.9
14-Dec,448.32
15-Jan,433.21
15-Feb,423.55
15-Mar,409.79
15-Apr,394.73
15-May,388.2
15-Jun,391.48
15-Jul,405.87
15-Aug,378.78
15-Sep,367.49
15-Oct,375.95
15-Nov,368
15-Dec,368.42
16-Jan,373.08
16-Feb,373.75
16-Mar,380.97
16-Apr,395.14
16-May,422.55
16-Jun,457.4
16-Jul,431.08
16-Aug,412.17
16-Sep,403.53
16-Oct,401.87
16-Nov,397.76
16-Dec,416.07
17-Jan,412
17-Feb,394.5312
17-Mar,383.681592
17-Apr,387.44
17-May,389.72
17-Jun,378.59
17-Jul,410.23
17-Aug,392.87
17-Sep,393.95
17-Oct,396.52
17-Nov,393.85
17-Dec,387.15455
18-Jan,389.53
18-Feb,416.28
18-Mar,428.62
18-Apr,439.07
18-May,430.32
18-Jun,394.44
18-Jul,377.17
18-Aug,376.77
18-Sep,356.87
18-Oct,367.96
18-Nov,374.04
18-Dec,380.53
19-Jan,381.96
19-Feb,380.33
19-Mar,369.53
19-Apr,359.84
19-May,339.81
19-Jun,358.95
19-Jul,369.58
19-Aug,360.93
19-Sep,366.07
19-Oct,381.65
19-Nov,375.59
19-Dec,375.9220866
20-Jan,387.23
20-Feb,375.63
20-Mar,372.61
20-Apr,361.26
20-May,359.17
20-Jun,367.8
