yyyyq,y,dp,dy,ep,bm,ntis,tbl,ltr,tms,dfy,infl,ik
19891,0.01606568869972910,-1.469153128,-1.443129695,-1.072386009,0.468691414,-0.023102134,0.0882,0.014261477,0.0047,-0.0087,0.014937759,0.034878932
19892,0.02344420555518050,-1.486704816,-1.453935601,-1.100654723,0.440562937,-0.023936641,0.0815,0.114752657,0.0006,-0.0093,0.014717907,0.035029503
19893,0.03149418519803710,-1.512250455,-1.471638214,-1.168446986,0.39920975,-0.025736589,0.0775,-0.000821581,0.0072,-0.009,0.007252216,0.035677962
19894,-0.00272477372819225,-1.504707798,-1.499453299,-1.189000381,0.390454744,-0.012323107,0.0763,0.045368023,0.0053,-0.0096,0.0088,0.034781872
19901,-0.02451140252541680,-1.47763258,-1.494496856,-1.195543359,0.471333956,-0.010275461,0.079,-0.040952707,0.0099,-0.0084,0.020618557,0.034901378
19902,0.01389057978196330,-1.487097013,-1.464591994,-1.226344028,0.442949432,-0.00047416,0.0773,0.043932319,0.0091,-0.0096,0.009324009,0.033962047
19903,-0.07347920130028200,-1.412660819,-1.480775723,-1.148532844,0.520289666,0.001391613,0.0736,-0.020318615,0.0178,-0.0108,0.021555042,0.033874205
19904,0.02488894943345500,-1.436520783,-1.403509794,-1.189608958,0.48449686,-0.001828469,0.0674,0.082434252,0.017,-0.0138,0.008289375,0.032934848
19911,0.04729686484829440,-1.491141836,-1.43565923,-1.253309302,0.4571256,0.003262045,0.0591,0.019899948,0.0253,-0.0116,0.00896861,0.031833081
19912,-0.01054021681442560,-1.485092135,-1.489816948,-1.281535631,0.458243743,0.014082172,0.0557,0.0076118,0.0303,-0.0095,0.007407407,0.031313961
19913,0.01302890963359710,-1.499653492,-1.480539665,-1.337767293,0.441531837,0.022991536,0.0522,0.082055884,0.0268,-0.009,0.008823529,0.030822476
19914,0.02615064968868180,-1.533763166,-1.502208382,-1.416924861,0.420344417,0.031537729,0.0407,0.072537013,0.0323,-0.0095,0.005102041,0.030481501
19921,-0.01801023203087170,-1.515296302,-1.529478088,-1.396801143,0.402106034,0.041628264,0.0404,-0.036607067,0.0393,-0.009,0.010152284,0.030181205
19922,0.00066101536767526,-1.520198452,-1.515437284,-1.379084777,0.392042354,0.042936625,0.0366,0.046457658,0.0399,-0.0083,0.006460876,0.0312179
19923,0.00679261732373065,-1.527721905,-1.517562629,-1.364731902,0.397656972,0.041134984,0.0291,0.066131843,0.0419,-0.007,0.007845934,0.031656267
19924,0.01422266553682100,-1.546301517,-1.528072425,-1.358391599,0.394109614,0.03871373,0.0322,0.005317233,0.0404,-0.0083,0.004246285,0.032395461
19931,0.01209615240004390,-1.558641461,-1.543017743,-1.357279578,0.333613526,0.036995019,0.0295,0.066626422,0.0407,-0.0057,0.011980268,0.032352457
19932,-0.00434720091188880,-1.556015335,-1.557112865,-1.367491861,0.325931248,0.041047893,0.0307,0.057369669,0.0361,-0.0074,0.005571031,0.032971188
19933,0.00461284787529879,-1.564176809,-1.556154076,-1.351903443,0.322351821,0.04174737,0.0295,0.063860604,0.0332,-0.0068,0.004847645,0.033072958
19934,0.00361556467759660,-1.569228036,-1.562169387,-1.328559336,0.305267223,0.045746805,0.0306,-0.014581737,0.0348,-0.0076,0.004824259,0.034182757
19941,-0.02282598682455500,-1.545067807,-1.564762067,-1.292893703,0.307483805,0.041915421,0.035,-0.059148468,0.0375,-0.0065,0.009602195,0.034210384
19942,-0.00577342769040788,-1.539251115,-1.540714964,-1.246246447,0.308417077,0.034010352,0.0414,-0.03284623,0.036,-0.0068,0.005434783,0.034578678
19943,0.01226865265024200,-1.553945541,-1.536283644,-1.228669254,0.290904659,0.029019116,0.0462,-0.006618717,0.0338,-0.0064,0.009459459,0.034892335
19944,-0.00896327303444965,-1.542482303,-1.545723111,-1.176346651,0.2915683,0.016601624,0.056,0.020249244,0.0239,-0.0064,0.002008032,0.036079874
19951,0.03033792496792650,-1.58000049,-1.542482303,-1.187035272,0.313876542,0.01440318,0.0573,0.06640024,0.0182,-0.0058,0.011356045,0.03714106
19952,0.02996013107303450,-1.610358275,-1.573747301,-1.199260216,0.286429618,0.0082729,0.0547,0.112486668,0.0123,-0.006,0.007265522,0.036950999
19953,0.02427452679993560,-1.6339778,-1.603457401,-1.220421804,0.272494998,0.006377414,0.0528,0.024015582,0.0135,-0.0061,0.004590164,0.036762912
